,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut,odds
219,Chez Reavie,26476,71.763,-0.371,-0.251,-0.269,-0.348,0.14,-0.023,-7.0,0.86,-7.0,0.86,1024.0,-11.0,1.0,
220,Doc Redman,53165,71.626,-0.65,-0.057,-0.509,-0.688,-0.175,0.038,-5.0,0.67,-5.0,0.67,1031.0,-1.0,0.0,
221,Davis Riley,47995,71.251,-0.22,-0.105,-0.321,0.013,0.584,-0.233,0.0,1.0,0.0,1.0,1032.0,0.0,1.0,
222,Patrick Rodgers,36699,70.212,0.792,0.308,0.231,0.506,-0.126,0.286,-4.4,0.8,-4.4,0.8,,,,
223,Chi Chi Rodriguez,02015,,,,,,,,,,,,,,,
224,John Rollins,22913,,,,,,,,,,,,,,,
225,Justin Rose,22405,69.62,1.399,-0.037,0.302,0.982,0.597,0.417,-2.0,0.5,-2.0,0.5,,,,
226,Kevin Roy,39335,71.534,-0.328,-0.126,-0.085,0.203,0.455,-0.531,,,,,,,,
227,Sam Ryder,37275,70.756,0.475,-0.511,-0.162,-0.312,0.383,0.787,-4.2,0.8,-4.2,0.8,1113.0,-7.0,1.0,
228,Rory Sabbatini,23621,,,,,,,,1.4,0.2,1.4,0.2,1099.0,0.0,0.0,
229,Xander Schauffele,48081,69.321,2.022,0.319,0.139,1.404,0.916,0.618,-6.33,0.67,-6.33,0.67,,,,
230,Scottie Scheffler,46046,68.609,2.616,1.115,0.473,2.808,1.239,-0.192,-5.33,0.67,-5.33,0.67,1114.0,-10.0,1.0,
231,Adam Schenk,47347,70.586,0.601,-0.022,0.091,0.23,0.108,0.371,0.0,0.0,0.0,0.0,999.0,0.0,0.0,
232,Matti Schmid,48867,72.419,-0.471,0.084,-0.575,-0.552,0.001,0.081,,,,,,,,
233,Matthias Schwab,34610,71.741,-0.955,-0.367,0.199,-0.73,-0.41,-0.225,-3.0,1.0,-3.0,1.0,1082.0,-3.0,1.0,
234,Adam Scott,24502,70.629,0.763,0.559,0.201,0.396,-0.179,0.367,-8.0,1.0,-8.0,1.0,,,,
235,Robby Shelton,46441,70.809,0.29,-0.322,0.36,0.257,0.212,0.032,2.33,0.33,2.33,0.33,,,,
236,Greyson Sigg,51890,70.956,0.191,-0.061,0.113,0.206,0.057,-0.015,-1.0,0.0,-1.0,0.0,1038.0,-1.0,0.0,
